Player,Army,Score 1,Score2,Score3,Score4,Score5,Score7,Score8,Score9
Daren Mueller,Orks,3,1,7.0,0.0,1.0,,,
Zak Sheridan,Astra Militarum,1,2,2.0,1.0,11.0,,,
Michael Linke,Chaos Space Marines,2,0,0.0,2.0,7.0,,,
Forest Johnson,Space Marines,7,2,0.0,3.0,10.0,,,
Sean Yeates,Cult Mechanicus,1,10,11.0,0.0,,,,
Chase Garber,Tyranids,10,5,7.0,0.0,0.0,,,
Carrie Ballard,Necrons,1,1,11.0,2.0,1.0,,,
Justin Del Valle,Orks,0,1,10.0,2.0,7.0,,,
Christopher Gunter,Dark Angels,9,1,11.0,0.0,0.0,,,
Chuck Marshall,Tau Empire,11,2,1.0,1.0,5.0,,,
Bob Kelley,Chaos Space Marines,1,11,9.0,0.0,0.0,,,
Michael Trebino,Harlequins,3,3,6.0,7.0,1.0,,,
Justin Jones,Inquisition,2,1,1.0,2.0,9.0,,,
Chris Malone,Grey Knights,0,0,6.0,0.0,11.0,,,
Nathalie Fregosi-jeanniard,Tyranids,9,1,0.0,9.0,0.0,,,
Gordon Danke,Space Marines,1,6,0.0,10.0,2.0,,,
Darren Takemoto,Tau Empire,3,1,6.0,0.0,9.0,,,
Sean Lengenfelder,Khorne Daemonkin,1,0,11.0,0.0,6.0,,,
Lucas Shubert,Astra Militarum,1,1,5.0,2.0,0.0,,,
Michael Haspil,Grey Knights,0,5,7.0,0.0,1.0,,,
Jason Peck,Tau Empire,6,6,0.0,0.0,0.0,,,
Kiel Skriver,Eldar,2,8,1.0,,,,,
Don Hooson,Space Marines,2,10,4.0,5.0,1.0,,,
Cody Boe,Necrons,1,1,10.0,6.0,2.0,,,
Seth McCoy,Space Marines,1,2,10.0,2.0,5.0,,,
Cabel Dawson,Necrons,0,6,6.0,1.0,1.0,,,
Jon Costa,Khorne Daemonkin,2,4,6.0,6.0,0.0,,,
John Feuerhelm,Tau Empire,1,11,1.0,0.0,1.0,,,
Greg Gonzalez,Necrons,2,6,5.0,1.0,0.0,,,
Alexander Yuen,Space Wolves,6,11,1.0,,,,,
Garret Acord,Space Marines,10,0,0.0,6.0,2.0,,,
Carson Murdy,Necrons,6,0,4.0,0.0,0.0,,,
Adrian Sanders,Eldar,10,0,0.0,6.0,,,,
Grayson Cirerol,Astra Militarum,7,0,1.0,2.0,0.0,,,
James Brandetsas,Dark Eldar,0,1,1.0,7.0,5.0,,,
Darrell Cash,Khorne Daemonkin,5,2,1.0,0.0,5.0,,,
Richard Vantilburg,Dark Eldar,6,0,7.0,0.0,,,,
Logan Rourk,Chaos Space Marines,1,0,0.0,11.0,0.0,,,
Doug Cole,Chaos Daemons,4,4,5.0,1.0,2.0,,,
Mike Guarriello,Necrons,1,4,5.0,11.0,2.0,,,
Jeshua Barker,Tyranids,6,5,0.0,10.0,1.0,,,
Darren Allen,Khorne Daemonkin,5,1,11.0,2.0,3.0,,,
Warren Bree,Grey Knights,1,1,11.0,0.0,5.0,,,
Nick Tod,Cult Mechanicus,2,2,5.0,1.0,3.0,,,
Pablo Caballero,Space Wolves,1,0,5.0,11.0,1.0,,,
Anthony Silva,Astra Militarum,1,4,0.0,11.0,1.0,,,
Morgan Peck,Chaos Daemons,0,2,1.0,2.0,10.0,,,
Denny Page,Blood Angels,2,11,2.0,1.0,1.0,,,
Ray Prado,Space Marines,0,0,6.0,0.0,1.0,,,
Christopher Brown,Chaos Daemons,2,2,5.0,1.0,5.0,,,
Shayne Rucki,Space Wolves,0,2,3.0,0.0,1.0,,,
Nathan Creer,Tyranids,2,9,5.0,0.0,,,,
Ben Nelson,Orks,11,0,0.0,5.0,,,,
Daniel Winters,Tyranids,2,0,3.0,10.0,0.0,,,
Alex Bade,Necrons,5,0,6.0,0.0,3.0,,,
Paul Anderson,Chaos Daemons,1,10,0.0,0.0,1.0,,,
Jeremy Ecklin,Orks,11,0,1.0,0.0,,,,
Johnny Chao,Adepta Sororitas,1,0,4.0,0.0,7.0,,,
Calen Womg,Space Marines,0,6,5.0,,,,,
Jason McCormack,Space Marines,0,11,0.0,0.0,,,,
Michael Aldenbrook,Orks,1,0,1.0,6.0,0.0,,,
Tom Malone,Tau Empire,0,6,0.0,1.0,0.0,,,
Steve Dzyban,Khorne Daemonkin,0,6,1.0,0.0,,,,
Jiaqi Liu,Astra Militarum,1,5,0.0,0.0,,,,
Nick Nanavati,Chaos Daemons,6,0,,,,,,
Chad Ball,Tyranids,1,6,0.0,4.0,2.0,,,
Ryan Creer,Chaos Daemons,5,0,7.0,0.0,,,,
Mike Ball,Blood Angels,0,1,2.0,5.0,4.0,,,
Jessica Edgren,Space Marines,1,5,1.0,0.0,,,,
Cody Johnson,Space Wolves,0,0,1.0,5.0,0.0,,,
Tim Schneider,Space Marines,1,1,4.0,0.0,0.0,,,
Marvin Waldmann,Chaos Daemons,1,1,,,,,,
Aaron Albert,Grey Knights,0,1,0.0,0.0,,,,
Andrew Kearney,Dark Angels,0,0,,,,,,
